Sl. No.,State/UT,Nitrate - No. of samples analysed,Nitrate - Percent of samples with NO3> 45 mg/L,Nitrate - No. of districts having Nitrate > 45 mg/L,Fluoride - No. of samples analysed,Fluoride - Percent of samples with F >1.5 mg/L,Fluoride - No of districts having F > 1.5 mg/L,Arsenic - No. of samples Asanalysed,Arsenic - Percent of samples with As> 10 ppb,Arsenic - No of districts having Arsenic > 10 ppb,Uranium - No. of samples U analysed,Uranium - Percent of samples U> 30 ppb,Uranium - No of districts having U > 30 ppb
1,Andaman and Nicobar Islands,113,0,0,113,0,0,NA,NA,NA,NA,NA,NA
2,Andhra Pradesh,1149,23.5,26,1149,11.31,17,588,3.9,7,NA,NA,NA
3,Arunachal Pradesh,12,0,0,12,0,0,NA,NA,NA,12,0,0
4,Assam,155,0,0,155,0,0,155,0.6,1,155,0,0
5,Bihar,808,2.35,15,808,4.58,6,607,11.9,20,752,0.1,1
6,Chandigarh,8,0,0,8,0,0,NA,NA,NA,8,0,0
7,Chhattisgarh,783,11.49,20,783,1.79,8,917,0.8,3,783,0.6,3
8,Dadra and Nagar Haveli and Daman and Diu,17,0,0,17,0,0,NA,NA,NA,NA,NA,NA
9,Delhi,103,20.39,7,103,16.5,6,103,2.9,2,103,10.7,6
10,Goa,10,0,0,10,0,0,NA,NA,NA,6,0,0
11,Gujarat,632,18.04,23,632,13.92,25,543,0.2,1,NA,NA,NA
12,Haryana,879,14.56,21,879,23.66,17,857,0.7,5,857,18.7,16
13,Himachal Pradesh,171,9.36,6,171,1.17,2,NA,NA,NA,NA,NA,NA
14,Jammu and Kashmir,250,9.2,6,250,0,0,250,0.8,2,250,0,0
15,Jharkhand,397,5.79,9,397,2.77,8,397,0.3,1,342,0,0
16,Karnataka,345,48.99,27,345,17.68,19,125,3.2,2,125,4.8,3
17,Kerala,342,6.73,10,342,0.29,1,423,0.2,1,342,0,0
18,Madhya Pradesh,589,22.58,39,589,1.02,6,NA,NA,NA,1064,0.5,3
19,Maharashtra,1567,35.74,32,1567,1.91,10,1073,0.2,2,1567,0.2,3
20,Meghalaya,39,0,0,39,0,0,NA,NA,NA,39,0,0
21,Mizoram,3,0,0,3,0,0,NA,NA,NA,3,0,0
22,Nagaland,6,0,0,6,0,0,NA,NA,NA,6,0,0
23,Odisha,625,14.4,15,625,4.48,10,904,0.7,3,904,0.3,3
24,Puducherry,4,25,1,4,0,0,NA,NA,NA,4,0,0
25,Punjab,922,12.58,20,922,13.77,17,908,4.8,12,908,32.6,20
26,Rajasthan,630,49.52,30,630,43.17,31,671,1.9,8,627,21.2,21
27,Tamil Nadu,916,37.77,31,916,9.72,21,1208,1.4,9,915,2.3,9
28,Telangana,1150,27.48,32,1150,14.87,28,345,0.6,1,NA,NA,NA
29,Tripura,81,2.47,2,81,0,0,NA,NA,NA,81,0,0
30,Uttar Pradesh,1387,9.37,48,1387,5.7,27,1386,6.7,29,1386,8.3,43
31,Uttarakhand,207,17.39,5,207,0.48,1,207,3.9,3,206,0.5,1
32,West Bengal,959,8.65,18,959,0.73,3,959,8.8,6,NA,NA,NA
Grand Total,Grand Total,15259,19.8,443,15259,9.04,263,12626,3.1,118,11445,6.6,132
